proxy,spearman,top_25_mass_fraction,top_25_lift,top_50_mass_fraction,top_50_lift
fixed_match_confidence,-0.4656270638526482,0.07378161698579788,0.29512646794319153,0.23434533178806305,0.4686906635761261
wide_match_confidence,-0.09564426080699931,0.24836072325706482,0.9934428930282593,0.47818395495414734,0.9563679099082947
teacher_temporal_delta,0.03294889653452864,0.2534317970275879,1.0137271881103516,0.5129421949386597,1.0258843898773193
teacher_motion_magnitude,0.11584352034180327,0.34594377875328064,1.3837751150131226,0.5960296988487244,1.1920593976974487
fp_quant_error,0.3366446533632345,0.46376532316207886,1.8550612926483154,0.6898636221885681,1.3797272443771362
oracle_need_score,0.9999999999999999,0.8270223140716553,3.308089256286621,0.9406382441520691,1.8812764883041382
