scheme,local_kl,motion_error,displacement_error,teacher_entropy,teacher_normalized_entropy,teacher_mass_covered,teacher_top1_retained,candidate_count
fixed_3x3,0.10110465437173843,0.004905626643449068,0.13594640791416168,0.41943496465682983,0.19912385940551758,0.38999515771865845,0.3900173604488373,8.265625
teacher_topk,0.12509605288505554,0.003166975686326623,0.26603999733924866,0.8040496706962585,0.3659387528896332,0.999636709690094,1.0,9.0
teacher_centered_3x3,0.06810180097818375,0.0030496548861265182,0.07932804524898529,0.3622985780239105,0.17003461718559265,0.7753309607505798,1.0,8.406973838806152
random_topk,0.11007051169872284,0.005075995344668627,0.22577187418937683,0.4491206407546997,0.2044036090373993,0.4453922510147095,0.44409722089767456,9.0
