proxy,spearman,top_25_mass_fraction,top_25_lift,top_50_mass_fraction,top_50_lift
fixed_match_confidence,-0.5001175782672069,0.05372123047709465,0.2148849219083786,0.16417832672595978,0.32835665345191956
wide_match_confidence,-0.1140399735253126,0.24392306804656982,0.9756922721862793,0.4612535238265991,0.9225070476531982
teacher_temporal_delta,0.03572267885720382,0.2669253349304199,1.0677013397216797,0.5195577144622803,1.0391154289245605
teacher_motion_magnitude,0.10660263049455329,0.3431083858013153,1.3724335432052612,0.6065704226493835,1.213140845298767
fp_quant_error,0.2721250163535534,0.43896251916885376,1.755850076675415,0.6636158227920532,1.3272316455841064
oracle_need_score,1.0,0.8378456234931946,3.3513824939727783,0.9442139267921448,1.8884278535842896
