scheme,local_kl,motion_error,displacement_error,teacher_entropy,teacher_normalized_entropy,teacher_mass_covered,teacher_top1_retained,candidate_count
fixed_3x3,0.0108253238722682,0.0006340924301184714,0.04344577714800835,0.4186055064201355,0.19872741401195526,0.3892726004123688,0.3892071843147278,8.265625
teacher_topk,0.013630914501845837,0.0004116735071875155,0.0851416364312172,0.8033676743507385,0.3656283915042877,0.9996396899223328,1.0,9.0
teacher_centered_3x3,0.006551120895892382,0.00036582909524440765,0.02384914830327034,0.3625583052635193,0.17011746764183044,0.7755365967750549,1.0,8.405961036682129
random_topk,0.011781987734138966,0.000663106213323772,0.07233237475156784,0.44808998703956604,0.20393456518650055,0.44547632336616516,0.4449942111968994,9.0
